iter	RMSE
0	0.7308160323
1	0.6663774997
2	0.61367582
3	0.5583693538
4	0.5152614782
5	0.4761899618
6	0.4421042602
7	0.4128330772
8	0.3851928241
9	0.3590633748
10	0.3338636444
11	0.3145610039
12	0.2992048175
13	0.2852684672
14	0.2693854913
15	0.2583579451
16	0.2467267808
17	0.2383380211
18	0.2274718331
19	0.2201537597
20	0.2135973491
21	0.2072510881
22	0.1987038958
23	0.193253667
24	0.1865581315
25	0.1822925575
26	0.1765765643
27	0.1704833667
28	0.1651176867
29	0.1592472483
30	0.1544290462
31	0.1486894054
32	0.143717319
33	0.1390580798
34	0.1356970268
35	0.1327750258
36	0.1297571038
37	0.1256291647
38	0.121929199
39	0.1194223502
40	0.1177970484
41	0.1127457731
42	0.1099349977
43	0.1072493941
44	0.1049994171
45	0.1013905861
46	0.09937222093
47	0.0973078918
48	0.09458110574
49	0.09230928451
50	0.08969708902
51	0.08739443565
52	0.08528428834
53	0.08409270021
54	0.08148536466
55	0.07876912107
56	0.07670225229
57	0.07430924427
58	0.07208437944
59	0.06957460297
60	0.06809512742
61	0.06620057771
62	0.06520459097
63	0.06328368246
64	0.06140997787
65	0.0600134776
66	0.05860143994
67	0.05677157867
68	0.05523138334
69	0.05364969044
70	0.05244684902
71	0.05104695022
72	0.04984597539
73	0.04888061805
74	0.04788327051
75	0.046829505
76	0.045826554
77	0.04476948525
78	0.04335828608
79	0.04206523413
80	0.04101685747
81	0.03992264431
82	0.03887398402
83	0.03777740088
84	0.03705968792
85	0.03610892069
86	0.03526932277
87	0.03465171666
88	0.03393809889
89	0.03286948822
90	0.03228247603
91	0.03164448853
92	0.03095787753
93	0.03017506209
94	0.02961337137
95	0.02878014025
96	0.02823520779
97	0.02752162336
98	0.02661979145
99	0.02607259897
100	0.02528920643
101	0.02458015455
102	0.02382980104
103	0.02317925683
104	0.0225554856
105	0.02203660329
106	0.0216414466
107	0.02078493125
108	0.02015395229
109	0.01959325536
110	0.01904247318
111	0.01848329779
112	0.0180368433
113	0.01737218352
114	0.01704269171
115	0.01675559331
116	0.01655058792
117	0.01627337948
118	0.01593050998
119	0.01551789905
120	0.01512645301
121	0.01484702758
122	0.01448624923
123	0.01415021472
124	0.01385796365
125	0.01337765121
126	0.0131797095
127	0.01290385353
128	0.01248778655
129	0.01224238611
130	0.01198378464
131	0.01169406769
132	0.01145290375
133	0.01127626139
134	0.01090621063
135	0.01070432792
136	0.01046221889
137	0.01029595982
138	0.01013166204
139	0.009916386258
140	0.009668847545
141	0.009460933126
142	0.009268695688
143	0.009075047695
144	0.008924166837
145	0.008578016132
146	0.008426241922
147	0.008312257628
148	0.0082112906
149	0.007982671219
150	0.007763241159
151	0.007612375488
152	0.00740248146
153	0.007250125143
154	0.007040826466
155	0.006847328872
156	0.006728827837
157	0.006626042821
158	0.006416185082
159	0.00633030915
160	0.006198996394
161	0.006068478642
162	0.006013992991
163	0.005894499486
164	0.005737212639
165	0.005670214317
166	0.005538257996
167	0.00542507996
168	0.005274493045
169	0.005158672612
170	0.004990511002
171	0.004923771732
172	0.004789120036
173	0.004628901306
174	0.004508428504
175	0.004389462221
176	0.004269785926
177	0.00421951624
178	0.004135312881
179	0.004071617062
180	0.004023490601
181	0.003977527759
182	0.003922880998
183	0.003861392006
184	0.003800623076
185	0.003760475281
186	0.003720811263
187	0.003638533598
188	0.00355927037
189	0.003444749878
190	0.003389188203
191	0.003312562579
192	0.003279311978
193	0.003219311435
194	0.003173388089
195	0.003120355164
196	0.003063746189
197	0.003033638643
198	0.002935784885
199	0.00288835183
200	0.002838049929
201	0.002795335429
202	0.002744109614
203	0.002698176667
204	0.002630307255
205	0.002554170439
206	0.002503826082
207	0.002464995149
208	0.002429695962
209	0.002366254049
210	0.002332210787
211	0.00229981264
212	0.002234695701
213	0.002200491306
214	0.002165903284
215	0.002121036165
216	0.002083120279
217	0.002045472209
218	0.002000163503
219	0.001952861218
220	0.001922115529
221	0.001855848331
222	0.001822973983
223	0.001805924348
224	0.001781002264
225	0.001738208835
226	0.00171228891
227	0.001672978927
228	0.001630270322
229	0.001598758345
230	0.00157414661
231	0.001551047151
232	0.001517836862
233	0.001494009748
234	0.001459643523
235	0.001404249627
236	0.001374076189
237	0.001350303161
238	0.001333700351
239	0.001303859155
240	0.001264691456
241	0.001236655065
242	0.001211860583
243	0.00117867285
244	0.001140622001
245	0.00112317334
246	0.00110044909
247	0.001072606843
248	0.001055290064
